"Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"strata","Entire","B13_SQO_Tox...c.3..","1",99,79.3762282009173,3.43780245322942,72.6382592066242,86.1141971952104,96.845522581,7.2142640209156,82.7058249250423,110.985220236958
"strata","Entire","B13_SQO_Tox...c.3..","2",23,12.852695243869,2.48630625967789,7.97962452036381,17.7257659673741,15.6813446,3.06428210293025,9.67546203978605,21.687227160214
"strata","Entire","B13_SQO_Tox...c.3..","3",7,3.4283805851431,1.579174618694,0.333255207203091,6.5235059630831,4.182906103,1.91030309120926,0.438780844674325,7.92703136132567
"strata","Entire","B13_SQO_Tox...c.3..","4",5,4.34269597007061,2.10273119593669,0.221418556865868,8.46397338327535,5.298446023,2.54944962942307,0.301616568931791,10.2952754770682
"strata","Entire","B13_SQO_Tox...c.3..","Total",134,100,0,100,100,122.008219307,6.4137324693501,109.437534660599,134.578903953401
