StationID,EohaustoriusCategory,EohaustoriusScore,MytilusCategory,MytilusScore,IntegratedToxLOE,IntegratedToxScore,TargetLatitude,TargetLongitude,B13_Stratum,CompressedStratum,Region,AW_Apod_Tox,AW_Mussel_Tox
B13-8340,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,33.735428,-118.27672,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
B13-8347,Low Toxicity,2,Low Toxicity,2,Low Toxicity,2,33.73893,-118.21017,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
B13-8349,Nontoxic,1,Low Toxicity,2,Low Toxicity,2,33.739017,-118.236282,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
B13-8356,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.743239,-118.204496,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
B13-8360,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.74555,-118.21575,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
B13-8363,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.747344,-118.221345,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
B13-8365,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,33.747636,-118.198273,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
B13-8367,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.74828,-118.24878,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
B13-8371,Nontoxic,1,Low Toxicity,2,Low Toxicity,2,33.75085,-118.23051,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
B13-8374,Nontoxic,1,Low Toxicity,2,Low Toxicity,2,33.75274,-118.21773,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
B13-8382,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.755265,-118.230067,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
B13-8384,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.756633,-118.277038,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
B13-8396,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.76623,-118.27732,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
B13-8399,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.768539,-118.222031,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
B13-8401,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,33.771272,-118.211926,Port,Port,Los Angeles/Long Beach,0.955197021,0.955197021
